website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp,duplicate_type
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 15,https://parts4cells.com/apple/iphone/iphone-15.html,15,2,15,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-15.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 14 pro max,https://parts4cells.com/apple/iphone/iphone-14-pro-max.html,16,3,16,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-14-pro-max.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 14 pro,https://parts4cells.com/apple/iphone/iphone-14-pro.html,17,3,17,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-14-pro.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 13 Pro Max,https://parts4cells.com/apple/iphone/iphone-13-pro-max.html,20,3,20,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-13-pro-max.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 13,https://parts4cells.com/apple/iphone/iphone-13.html,22,3,22,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-13.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 12 Pro Max,https://parts4cells.com/apple/iphone/iphone-12-pro-max.html,25,3,25,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-12-pro-max.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 12,https://parts4cells.com/apple/iphone/iphone-12.html,27,3,27,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-12.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone XS Max,https://parts4cells.com/apple/iphone/iphone-xs-max.html,32,4,32,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-xs-max.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone XR,https://parts4cells.com/apple/iphone/iphone-xr.html,34,4,34,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-xr.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone X,https://parts4cells.com/apple/iphone/iphone-x.html,35,4,35,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-x.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPad,https://parts4cells.com/apple/ipad.html,2,dom-inspection,iPad Air,https://parts4cells.com/apple/ipad/ipad-air.html,33,1,33,3,dom-inspection,ul#mobile-menu-cat-33-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/ipad/ipad-air.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPad,https://parts4cells.com/apple/ipad.html,2,dom-inspection,iPad Mini 6,https://parts4cells.com/apple/ipad/ipad-mini-6.html,35,1,35,3,dom-inspection,ul#mobile-menu-cat-33-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/ipad/ipad-mini-6.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPad,https://parts4cells.com/apple/ipad.html,2,dom-inspection,iPad Mini 4,https://parts4cells.com/apple/ipad/ipad-mini-4.html,37,1,37,3,dom-inspection,ul#mobile-menu-cat-33-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/ipad/ipad-mini-4.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab A Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-a-series.html,2,1,2,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-a-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab S Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-s-series.html,3,1,3,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-s-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab 3 Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-3-series.html,4,1,4,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-3-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab 2 Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-2-series.html,5,1,5,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-2-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab E Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-e-series.html,6,1,6,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-e-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Note Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/note-series.html,7,1,7,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/note-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab 4 Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-4-series.html,8,1,8,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-4-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-series.html,9,1,9,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab Pro Series,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-pro-series.html,10,1,10,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > div.samsung-sub-menu-acc > ul.sub-menu-category > li > a.sub-category-link,https://parts4cells.com/samsung/samsung-tab/all-samsung-tab-lcd/tab-pro-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab A Series,https://parts4cells.com/samsung/samsung-tab/tab-a-series.html,11,1,11,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > a.sub-category-link.samsung-sub-category-toggle,https://parts4cells.com/samsung/samsung-tab/tab-a-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab S Series,https://parts4cells.com/samsung/samsung-tab/tab-s-series.html,27,1,27,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > a.sub-category-link.samsung-sub-category-toggle,https://parts4cells.com/samsung/samsung-tab/tab-s-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab 3 Series,https://parts4cells.com/samsung/samsung-tab/tab-3-series.html,54,1,54,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > a.sub-category-link.samsung-sub-category-toggle,https://parts4cells.com/samsung/samsung-tab/tab-3-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Samsung,,3,click,Samsung Tab,https://parts4cells.com/samsung/samsung-tab.html,5,dom-inspection,Tab 2 Series,https://parts4cells.com/samsung/samsung-tab/tab-2-series.html,59,1,59,3,dom-inspection,ul#mobile-menu-cat-982-1 > li.level2.samsung-tab.other-section.samsung-sub-category-container > a.sub-category-link.samsung-sub-category-toggle,https://parts4cells.com/samsung/samsung-tab/tab-2-series.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
